CATALOGUE PRODUITS TARNNETZ
===========================
Handle (slug produit) | Option 1 (couleur/forme) | Option 2 (dimensions) | SKU | Prix TTC (€)
tarnnetz-bundeswehr | 5x6 | - | 3760388670284 | 293,99
tarnnetz-bundeswehr | 5x7 | - | 3760388670260 | 344,99
tarnnetz-bundeswehr | 5x8 | - | 3760388670246 | 391,99
tarnnetz-bundeswehr | 5x9 | - | 3760388670222 | 442,99
tarnnetz-bundeswehr | 5x10 | - | 3760388670345 | 489,99
tarnnetz-bundeswehr | 6x6 | - | 3760388670208 | 354,99
tarnnetz-bundeswehr | 6x7 | - | 3760388678006 | 412,99
tarnnetz-bundeswehr | 6x8 | - | 3760388677993 | 469,99
tarnnetz-bundeswehr | 6x9 | - | 3760388679065 | 529,99
tarnnetz-bundeswehr | 6x10 | - | 3760388677986 | 585,99
tarnnetz-bundeswehr | 7x7 | - | 3760388677979 | 478,99
tarnnetz-bundeswehr | 7x8 | - | 3760388679058 | 549,99
tarnnetz-bundeswehr | 7x9 | - | 3760388679041 | 619,99
tarnnetz-bundeswehr | 7x10 | - | 3760388679034 | 683,99
tarnnetz-bundeswehr | 8x8 | - | 3760388679027 | 624,99
tarnnetz-bundeswehr | 8x9 | - | 3760388679010 | 703,99
tarnnetz-bundeswehr | 8x10 | - | 3760388679003 | 781,99
tarnnetz-bundeswehr | 9x9 | - | 3760388678990 | 789,99
tarnnetz-bundeswehr | 9x10 | - | 3760388678983 | 878,99
tarnnetz-bundeswehr | 10x10 | - | 3760388670888 | 969,99

--- ACCESSOIRES ---
bodenhulse-fur-sonnensegelmast | Default Title | - | 3760263850015 | 39,90
sonnensegelmast | Default Title | - | 3760263850060 | 199,90
spannseil-mit-ratsche | Default Title | - | 3770030527972 | 19,90
befestigung-fur-sonnensegel | Default Title | - | 3770030527903 | 29,90
kabelbinder | Schwarz | - | 3770030527866 | 6,90
kabelbinder | Weiß | - | 3760388676989 | 6,90
